SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00250 S11_D0 msp7 msp7-1 9130 2 1 0.0170456348798871 0.0208552948721541
A00297 S11_D0 msp7 msp7-1 13589 3 1 0.0243923891581404 0.0208552948721541
A00230 S11_DX msp7 msp7-1 7316 1 1 0.0148412316842851 0.0176182352172124
A00277 S11_DX msp7 msp7-1 9359 2 1 0.0174731759957134 0.0176182352172124
A00324 S11_DX msp7 msp7-1 11443 3 1 0.0205402979716388 0.0176182352172124
A00204 S12_D0 msp7 msp7-8 1753 1 3 0.00355613438252484 0.00218299613254046
A00204 S12_D0 msp7 msp7-1 6607 1 3 0.0134029548575822 0.00786698025415843
A00204 S12_D0 msp7 msp7-16 15105 1 3 0.0306419907861025 0.0181833894899405
A00251 S12_D0 msp7 msp7-8 781 2 3 0.00145812057406263 0.00218299613254046
A00251 S12_D0 msp7 msp7-1 2551 2 3 0.00476269601079868 0.00786698025415843
A00251 S12_D0 msp7 msp7-16 5991 2 3 0.0111851477070541 0.0181833894899405
A00298 S12_D0 msp7 msp7-8 855 3 3 0.00153473344103393 0.00218299613254046
A00298 S12_D0 msp7 msp7-1 3028 3 3 0.00543528989409442 0.00786698025415843
A00298 S12_D0 msp7 msp7-16 7088 3 3 0.0127230299766649 0.0181833894899405
A00231 S12_DX msp7 msp7-8 1622 1 2 0.00329038788845139 0.00465410664211587
A00231 S12_DX msp7 msp7-16 5378 1 2 0.0109098064513511 0.0154159912738324
A00278 S12_DX msp7 msp7-8 2901 2 2 0.00541614313105722 0.00465410664211587
A00278 S12_DX msp7 msp7-16 9623 2 2 0.0179660618235655 0.0154159912738324
A00325 S12_DX msp7 msp7-8 2928 3 2 0.00525578890683899 0.00465410664211587
A00325 S12_DX msp7 msp7-16 9678 3 2 0.0173721055465805 0.0154159912738324
A00205 S13_D0 msp7 msp7-8 9183 1 1 0.0186286263746295 0.0142870360265274
A00252 S13_D0 msp7 msp7-8 6681 2 1 0.0124733720298495 0.0142870360265274
A00299 S13_D0 msp7 msp7-8 6551 3 1 0.0117591096751032 0.0142870360265274
A00232 S13_DX msp7 msp7-8 7435 1 1 0.0150826349880617 0.0149149271620031
A00279 S13_DX msp7 msp7-8 8523 2 1 0.0159123708741816 0.0149149271620031
A00326 S13_DX msp7 msp7-8 7660 3 1 0.0137497756237659 0.0149149271620031
A00206 S14_D0 msp7 msp7-18 3531 1 2 0.00716298374483468 0.00542432460120932
A00206 S14_D0 msp7 msp7-3 9170 1 2 0.0186022545851413 0.0144806515800947
A00253 S14_D0 msp7 msp7-18 2922 2 2 0.00545534995827273 0.00542432460120932
A00253 S14_D0 msp7 msp7-3 7486 2 2 0.0139763004064441 0.0144806515800947
A00300 S14_D0 msp7 msp7-18 2036 3 2 0.00365464010052055 0.00542432460120932
A00300 S14_D0 msp7 msp7-3 6052 3 2 0.0108633997486986 0.0144806515800947
A00233 S14_DX msp7 msp7-18 5512 1 1 0.0111816387429988 0.0118499376413395
A00280 S14_DX msp7 msp7-18 7020 2 1 0.0131062822406142 0.0118499376413395
A00327 S14_DX msp7 msp7-18 6274 3 1 0.0112618919404057 0.0118499376413395
A00207 S15_D0 msp7 msp7-1 9066 1 2 0.0183912802692357 0.0197959605400004
A00254 S15_D0 msp7 msp7-8 103 2 2 0.000192300152533228 0.000192300152533228
A00254 S15_D0 msp7 msp7-1 9955 2 2 0.0185859030919251 0.0197959605400004
A00301 S15_D0 msp7 msp7-1 12485 3 2 0.0224106982588404 0.0197959605400004
A00234 S15_DX msp7 msp7-24 1762 1 2 0.00357439177524744 0.00445003646448569
A00234 S15_DX msp7 msp7-16 4081 1 2 0.00827871330010488 0.00888759634615344
A00281 S15_DX msp7 msp7-24 2495 2 2 0.00465814447155731 0.00445003646448569
A00281 S15_DX msp7 msp7-16 4832 2 2 0.0090213042431122 0.00888759634615344
A00328 S15_DX msp7 msp7-24 2851 3 2 0.00511757314665231 0.00445003646448569
A00328 S15_DX msp7 msp7-16 5216 3 2 0.00936277149524322 0.00888759634615344
A00208 S16_D0 msp7 msp7-19 8972 1 1 0.0182005919452441 0.0215970373021368
A00255 S16_D0 msp7 msp7-19 11261 2 1 0.0210241943463755 0.0215970373021368
A00302 S16_D0 msp7 msp7-19 14243 3 1 0.0255663256147909 0.0215970373021368
A00235 S16_DX msp7 msp7-19 5847 1 1 0.0118612194721179 0.0117131035757996
