SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00324 S11_DX ama1-D3 ama1-D3-28 3117 3 1 0.0166078792851739 0.0191484488287595
A00204 S12_D0 ama1-D3 ama1-D3-33 43 1 5 0.000256978766382396 0.000474317190425311
A00204 S12_D0 ama1-D3 ama1-D3-32 59 1 5 0.000352598772478172 0.000409240117381806
A00204 S12_D0 ama1-D3 ama1-D3-4 107 1 5 0.000639458790765498 0.000848767738332471
A00204 S12_D0 ama1-D3 ama1-D3-31 589 1 5 0.00352001147440073 0.00465309061929774
A00204 S12_D0 ama1-D3 ama1-D3-30 1969 1 5 0.0117672370001614 0.0151362614071888
A00251 S12_D0 ama1-D3 ama1-D3-32 96 2 5 0.00046588146228544 0.000409240117381806
A00251 S12_D0 ama1-D3 ama1-D3-33 114 2 5 0.00055323423646396 0.000474317190425311
A00251 S12_D0 ama1-D3 ama1-D3-4 248 2 5 0.00120352711090405 0.000848767738332471
A00251 S12_D0 ama1-D3 ama1-D3-31 1264 2 5 0.00613410592009162 0.00465309061929774
A00251 S12_D0 ama1-D3 ama1-D3-30 4026 2 5 0.0195379038245956 0.0151362614071888
A00298 S12_D0 ama1-D3 ama1-D3-33 115 3 5 0.000612738568429578 0.000474317190425311
A00298 S12_D0 ama1-D3 ama1-D3-4 132 3 5 0.000703317313327863 0.000848767738332471
A00298 S12_D0 ama1-D3 ama1-D3-31 808 3 5 0.00430515446340086 0.00465309061929774
A00298 S12_D0 ama1-D3 ama1-D3-30 2647 3 5 0.0141036433968095 0.0151362614071888
A00231 S12_DX ama1-D3 ama1-D3-1 57 1 5 0.0003406462717162 0.000506651152030136
A00231 S12_DX ama1-D3 ama1-D3-33 91 1 5 0.000543838784669722 0.000710053493153478
A00231 S12_DX ama1-D3 ama1-D3-32 154 1 5 0.000920342558671838 0.000851006232367757
A00231 S12_DX ama1-D3 ama1-D3-30 1349 1 5 0.00806196176395006 0.00600445610619237
A00231 S12_DX ama1-D3 ama1-D3-4 2250 1 5 0.0134465633572184 0.0110175253644568
A00278 S12_DX ama1-D3 ama1-D3-33 104 2 5 0.000504704917475893 0.000710053493153478
A00278 S12_DX ama1-D3 ama1-D3-32 141 2 5 0.00068426339773174 0.000851006232367757
A00278 S12_DX ama1-D3 ama1-D3-1 142 2 5 0.000689116329630546 0.000506651152030136
A00278 S12_DX ama1-D3 ama1-D3-30 990 2 5 0.0048044025798186 0.00600445610619237
A00278 S12_DX ama1-D3 ama1-D3-4 1517 2 5 0.00736189769048971 0.0110175253644568
A00325 S12_DX ama1-D3 ama1-D3-1 92 3 5 0.000490190854743662 0.000506651152030136
A00325 S12_DX ama1-D3 ama1-D3-32 178 3 5 0.000948412740699694 0.000851006232367757
A00325 S12_DX ama1-D3 ama1-D3-33 203 3 5 0.00108161677731482 0.000710053493153478
A00325 S12_DX ama1-D3 ama1-D3-30 966 3 5 0.00514700397480845 0.00600445610619237
A00325 S12_DX ama1-D3 ama1-D3-4 2298 3 5 0.0122441150456623 0.0110175253644568
A00205 S13_D0 ama1-D3 ama1-D3-36 1177 1 2 0.00703404669842048 0.00622342533470774
A00205 S13_D0 ama1-D3 ama1-D3-35 1699 1 2 0.0101536493972951 0.00753932113001254
A00252 S13_D0 ama1-D3 ama1-D3-35 826 2 2 0.0040085217484143 0.00753932113001254
A00252 S13_D0 ama1-D3 ama1-D3-36 1907 2 2 0.00925454113102431 0.00622342533470774
A00299 S13_D0 ama1-D3 ama1-D3-36 447 3 2 0.00238168817467845 0.00622342533470774
A00299 S13_D0 ama1-D3 ama1-D3-35 1587 3 2 0.00845579224432817 0.00753932113001254
A00232 S13_DX ama1-D3 ama1-D3-36 477 1 2 0.0028506714317303 0.00254424962343221
A00232 S13_DX ama1-D3 ama1-D3-35 2364 1 2 0.0141278559006508 0.00976209318475649
A00279 S13_DX ama1-D3 ama1-D3-35 561 2 2 0.00272249479523054 0.00976209318475649
A00326 S13_DX ama1-D3 ama1-D3-36 420 3 2 0.00223782781513411 0.00254424962343221
A00326 S13_DX ama1-D3 ama1-D3-35 2334 3 2 0.0124359288583881 0.00976209318475649
A00206 S14_D0 ama1-D3 ama1-D3-36 747 1 2 0.00446425903459651 0.00546662206180879
A00206 S14_D0 ama1-D3 ama1-D3-1 2566 1 2 0.01533505847761 0.017882027418604
A00253 S14_D0 ama1-D3 ama1-D3-36 1434 2 2 0.00695910434288876 0.00546662206180879
A00253 S14_D0 ama1-D3 ama1-D3-1 4616 2 2 0.0224011336448916 0.017882027418604
A00300 S14_D0 ama1-D3 ama1-D3-36 934 3 2 0.00497650280794109 0.00546662206180879
A00300 S14_D0 ama1-D3 ama1-D3-1 2986 3 2 0.0159098901333106 0.017882027418604
A00233 S14_DX ama1-D3 ama1-D3-36 3657 1 1 0.0218551476432657 0.0149600710089336
A00280 S14_DX ama1-D3 ama1-D3-36 2451 2 1 0.0118945360839751 0.0149600710089336
A00327 S14_DX ama1-D3 ama1-D3-36 2089 3 1 0.0111305292995599 0.0149600710089336
A00207 S15_D0 ama1-D3 ama1-D3-1 3486 1 1 0.0208332088281171 0.0259753227354667
A00254 S15_D0 ama1-D3 ama1-D3-1 4930 2 1 0.0239249542611169 0.0259753227354667
A00301 S15_D0 ama1-D3 ama1-D3-1 6225 3 1 0.0331678051171663 0.0259753227354667
A00234 S15_DX ama1-D3 ama1-D3-65 116 1 4 0.000693245044194372 0.000586842651088116
A00234 S15_DX ama1-D3 ama1-D3-35 1255 1 4 0.00750019422813738 0.00510229107652087
A00234 S15_DX ama1-D3 ama1-D3-31 2853 1 4 0.0170502423369529 0.0108421552929276
A00281 S15_DX ama1-D3 ama1-D3-65 99 2 4 0.00048044025798186 0.000586842651088116
A00281 S15_DX ama1-D3 ama1-D3-5 140 2 4 0.000679410465832933 0.000679410465832933
A00281 S15_DX ama1-D3 ama1-D3-35 895 2 4 0.00434337404943196 0.00510229107652087
A00281 S15_DX ama1-D3 ama1-D3-31 1731 2 4 0.00840042511683434 0.0108421552929276
A00328 S15_DX ama1-D3 ama1-D3-35 650 3 4 0.00346330495199327 0.00510229107652087
A00328 S15_DX ama1-D3 ama1-D3-31 1328 3 4 0.00707579842499547 0.0108421552929276
A00208 S16_D0 ama1-D3 ama1-D3-43 1001 1 1 0.00598222663136695 0.0187792526224279
A00255 S16_D0 ama1-D3 ama1-D3-43 4823 2 1 0.0234056905479445 0.0187792526224279
A00302 S16_D0 ama1-D3 ama1-D3-43 5058 3 1 0.0269498406879722 0.0187792526224279
A00235 S16_DX ama1-D3 ama1-D3-43 3166 1 1 0.0189208087062016 0.0140075961982645
A00282 S16_DX ama1-D3 ama1-D3-43 2334 2 1 0.0113267430518148 0.0140075961982645
A00329 S16_DX ama1-D3 ama1-D3-43 2210 3 1 0.0117752368367771 0.0140075961982645
A00209 S17_D0 ama1-D3 ama1-D3-43 5161 1 1 0.0308434282162685 0.0319465802303609
A00256 S17_D0 ama1-D3 ama1-D3-43 6619 2 1 0.0321215562382013 0.0319465802303609
A00303 S17_D0 ama1-D3 ama1-D3-43 6170 3 1 0.032874756236613 0.0319465802303609
A00236 S17_DX ama1-D3 ama1-D3-43 2462 1 1 0.0147135284379874 0.0312348781845206
A00283 S17_DX ama1-D3 ama1-D3-43 3563 2 1 0.0172909963554481 0.0312348781845206
A00330 S17_DX ama1-D3 ama1-D3-43 11580 3 1 0.0617001097601262 0.0312348781845206
A00210 S18_D0 ama1-D3 ama1-D3-35 3320 1 1 0.0198411512648734 0.0222976326972244
A00257 S18_D0 ama1-D3 ama1-D3-35 5317 2 1 0.025803038905955 0.0222976326972244
A00304 S18_D0 ama1-D3 ama1-D3-35 3988 3 1 0.0212487079208448 0.0222976326972244
A00237 S18_DX ama1-D3 ama1-D3-67 555 1 4 0.00331681896144721 0.00404403610630369
A00237 S18_DX ama1-D3 ama1-D3-66 900 1 4 0.00537862534288737 0.00743335739438146
A00237 S18_DX ama1-D3 ama1-D3-36 1648 1 4 0.00984886062786487 0.0130370504132284
A00284 S18_DX ama1-D3 ama1-D3-48 147 2 4 0.00071338098912458 0.00123317305548982
A00284 S18_DX ama1-D3 ama1-D3-67 645 2 4 0.0031301410747303 0.00404403610630369
A00284 S18_DX ama1-D3 ama1-D3-66 1078 2 4 0.00523146058691358 0.00743335739438146
A00284 S18_DX ama1-D3 ama1-D3-36 1962 2 4 0.00952145238545868 0.0130370504132284
A00331 S18_DX ama1-D3 ama1-D3-48 329 3 4 0.00175296512185505 0.00123317305548982
A00331 S18_DX ama1-D3 ama1-D3-67 1067 3 4 0.00568514828273356 0.00404403610630369
A00331 S18_DX ama1-D3 ama1-D3-66 2194 3 4 0.0116899862533434 0.00743335739438146
A00331 S18_DX ama1-D3 ama1-D3-36 3705 3 4 0.0197408382263616 0.0130370504132284
A00211 S19_D0 ama1-D3 ama1-D3-36 51 1 2 0.000304788769430284 0.000256732420539485
A00211 S19_D0 ama1-D3 ama1-D3-34 4307 1 2 0.0257397103909065 0.0249157053972506
A00258 S19_D0 ama1-D3 ama1-D3-36 43 2 2 0.000208676071648687 0.000256732420539485
A00258 S19_D0 ama1-D3 ama1-D3-34 3859 2 2 0.0187274641974949 0.0249157053972506
A00305 S19_D0 ama1-D3 ama1-D3-34 5683 3 2 0.0302799416033503 0.0249157053972506
A00238 S19_DX ama1-D3 ama1-D3-34 4795 1 1 0.0286561205768277 0.0419994420378942
A00285 S19_DX ama1-D3 ama1-D3-34 3292 2 1 0.0159758518108715 0.0419994420378942
A00332 S19_DX ama1-D3 ama1-D3-34 15271 3 1 0.0813663537259833 0.0419994420378942
A00194 S2_D0 ama1-D3 ama1-D3-5 382 1 2 0.00228292764553664 0.00281269262180532
A00194 S2_D0 ama1-D3 ama1-D3-4 2732 1 2 0.0163271160408536 0.018880850540589
A00241 S2_D0 ama1-D3 ama1-D3-5 917 2 2 0.00445013855120571 0.00281269262180532
A00241 S2_D0 ama1-D3 ama1-D3-4 5522 2 2 0.0267978899452104 0.018880850540589
A00288 S2_D0 ama1-D3 ama1-D3-5 320 3 2 0.00170501166867361 0.00281269262180532
A00288 S2_D0 ama1-D3 ama1-D3-4 2537 3 2 0.0135175456357029 0.018880850540589
A00221 S2_DX ama1-D3 ama1-D3-4 54 1 2 0.000322717520573242 0.000241281182255696
A00221 S2_DX ama1-D3 ama1-D3-16 3403 1 2 0.0203371800464952 0.0144198298655212
A00268 S2_DX ama1-D3 ama1-D3-16 3026 2 2 0.014684971925789 0.0144198298655212
A00315 S2_DX ama1-D3 ama1-D3-4 30 3 2 0.000159844843938151 0.000241281182255696
A00315 S2_DX ama1-D3 ama1-D3-16 1546 3 2 0.00823733762427937 0.0144198298655212
A00212 S20_D0 ama1-D3 ama1-D3-12 5212 1 1 0.0311482169856988 0.0313962417402305
A00259 S20_D0 ama1-D3 ama1-D3-12 6261 2 1 0.0303842066184285 0.0313962417402305
A00306 S20_D0 ama1-D3 ama1-D3-12 6129 3 1 0.0326563016165642 0.0313962417402305
A00239 S20_DX ama1-D3 ama1-D3-17 1905 1 1 0.0113847569757783 0.0269152651582305
A00286 S20_DX ama1-D3 ama1-D3-17 3971 2 1 0.0192709925701613 0.0269152651582305
A00333 S20_DX ama1-D3 ama1-D3-17 9401 3 1 0.0500900459287518 0.0269152651582305
A00195 S3_D0 ama1-D3 ama1-D3-10 2227 1 1 0.0133091095984557 0.0203672407939554
A00242 S3_D0 ama1-D3 ama1-D3-10 6774 2 1 0.0328737606825163 0.0203672407939554
A00289 S3_D0 ama1-D3 ama1-D3-10 2800 3 1 0.0149188521008941 0.0203672407939554
A00222 S3_DX ama1-D3 ama1-D3-10 3931 1 1 0.0234926402476558 0.02120912005361
A00269 S3_DX ama1-D3 ama1-D3-10 2976 2 1 0.0144423253308486 0.02120912005361
A00316 S3_DX ama1-D3 ama1-D3-10 4822 3 1 0.0256923945823254 0.02120912005361
A00196 S4_D0 ama1-D3 ama1-D3-14 105 1 6 0.000627506290003526 0.000708776613803569
A00196 S4_D0 ama1-D3 ama1-D3-13 267 1 6 0.00159565885172325 0.0016837606116826
A00196 S4_D0 ama1-D3 ama1-D3-12 408 1 6 0.00243831015544227 0.00261655117455782
A00196 S4_D0 ama1-D3 ama1-D3-6 1121 1 6 0.00669937667708526 0.00694647605195888
A00243 S4_D0 ama1-D3 ama1-D3-1 32 2 6 0.000155293820761813 0.000138920767223864
A00243 S4_D0 ama1-D3 ama1-D3-15 56 2 6 0.000271764186333173 0.000194491869277242
A00243 S4_D0 ama1-D3 ama1-D3-14 176 2 6 0.000854116014189973 0.000708776613803569
A00243 S4_D0 ama1-D3 ama1-D3-13 431 2 6 0.00209161364838567 0.0016837606116826
A00243 S4_D0 ama1-D3 ama1-D3-12 621 2 6 0.00301367070915894 0.00261655117455782
A00243 S4_D0 ama1-D3 ama1-D3-6 1650 2 6 0.008007337633031 0.00694647605195888
A00290 S4_D0 ama1-D3 ama1-D3-15 22 3 6 0.000117219552221311 0.000194491869277242
A00290 S4_D0 ama1-D3 ama1-D3-1 23 3 6 0.000122547713685916 0.000138920767223864
A00290 S4_D0 ama1-D3 ama1-D3-14 121 3 6 0.000644707537217208 0.000708776613803569
A00290 S4_D0 ama1-D3 ama1-D3-13 256 3 6 0.00136400933493889 0.0016837606116826
A00290 S4_D0 ama1-D3 ama1-D3-12 450 3 6 0.00239767265907226 0.00261655117455782
A00290 S4_D0 ama1-D3 ama1-D3-6 1151 3 6 0.00613271384576038 0.00694647605195888
A00223 S4_DX ama1-D3 ama1-D3-1 186 1 3 0.00111158257086339 0.00133636693999633
A00223 S4_DX ama1-D3 ama1-D3-14 2204 1 3 0.0131716558396931 0.0102837035050985
A00223 S4_DX ama1-D3 ama1-D3-6 2394 1 3 0.0143071434120804 0.011359150459702
A00270 S4_DX ama1-D3 ama1-D3-14 1232 2 3 0.00597881209932981 0.0102837035050985
A00270 S4_DX ama1-D3 ama1-D3-6 1474 2 3 0.00715322161884102 0.011359150459702
A00317 S4_DX ama1-D3 ama1-D3-1 293 3 3 0.00156115130912927 0.00133636693999633
A00317 S4_DX ama1-D3 ama1-D3-14 2196 3 3 0.0117006425762726 0.0102837035050985
A00317 S4_DX ama1-D3 ama1-D3-6 2368 3 3 0.0126170863481847 0.011359150459702
A00197 S5_D0 ama1-D3 ama1-D3-19 2627 1 1 0.0156996097508501 0.01584852031589
A00244 S5_D0 ama1-D3 ama1-D3-19 4396 2 1 0.0213334886271541 0.01584852031589
A00291 S5_D0 ama1-D3 ama1-D3-19 1973 3 1 0.0105124625696657 0.01584852031589
A00224 S5_DX ama1-D3 ama1-D3-19 5386 1 1 0.0321880845519904 0.0234448370807703
A00271 S5_DX ama1-D3 ama1-D3-19 3673 2 1 0.0178248188643169 0.0234448370807703
A00318 S5_DX ama1-D3 ama1-D3-19 3814 3 1 0.0203216078260036 0.0234448370807703
A00198 S6_D0 ama1-D3 ama1-D3-21 2880 1 1 0.0172116010972396 0.0169660573490337
A00245 S6_D0 ama1-D3 ama1-D3-21 5400 2 1 0.026205832253556 0.0169660573490337
A00292 S6_D0 ama1-D3 ama1-D3-21 1404 3 1 0.00748073869630545 0.0169660573490337
A00225 S6_DX ama1-D3 ama1-D3-58 3624 1 1 0.0216579313806931 0.0152238433364074
A00272 S6_DX ama1-D3 ama1-D3-58 3342 2 1 0.0162184984058119 0.0152238433364074
A00319 S6_DX ama1-D3 ama1-D3-58 1463 3 1 0.00779510022271715 0.0152238433364074
A00199 S7_D0 ama1-D3 ama1-D3-25 2944 1 1 0.0175940811216227 0.0152527296477333
A00246 S7_D0 ama1-D3 ama1-D3-25 3275 2 1 0.0158933519685918 0.0152527296477333
A00293 S7_D0 ama1-D3 ama1-D3-25 2303 3 1 0.0122707558529854 0.0152527296477333
A00226 S7_DX ama1-D3 ama1-D3-25 4784 1 1 0.0285903818226368 0.025826850395502
A00273 S7_DX ama1-D3 ama1-D3-25 5922 2 1 0.0287390627047331 0.025826850395502
A00320 S7_DX ama1-D3 ama1-D3-25 3782 3 1 0.0201511066591362 0.025826850395502
A00200 S8_D0 ama1-D3 ama1-D3-15 3353 1 1 0.0200383675274459 0.0237745999293974
A00247 S8_D0 ama1-D3 ama1-D3-15 7194 2 1 0.0349119920800151 0.0237745999293974
A00294 S8_D0 ama1-D3 ama1-D3-15 3073 3 1 0.0163734401807312 0.0237745999293974
A00227 S8_DX ama1-D3 ama1-D3-15 5231 1 1 0.0312617657429376 0.0232892911729496
A00274 S8_DX ama1-D3 ama1-D3-15 4309 2 1 0.0209112835519579 0.0232892911729496
A00321 S8_DX ama1-D3 ama1-D3-15 3321 3 1 0.0176948242239533 0.0232892911729496
A00201 S9_D0 ama1-D3 ama1-D3-1 2524 1 1 0.0150840559616086 0.0266591725086715
A00248 S9_D0 ama1-D3 ama1-D3-1 7766 2 1 0.0376878691261326 0.0266591725086715
A00295 S9_D0 ama1-D3 ama1-D3-1 5106 3 1 0.0272055924382732 0.0266591725086715
A00228 S9_DX ama1-D3 ama1-D3-1 6272 1 1 0.037483042389544 0.0214579494029866
A00275 S9_DX ama1-D3 ama1-D3-1 3342 2 1 0.0162184984058119 0.0214579494029866
A00322 S9_DX ama1-D3 ama1-D3-1 2003 3 1 0.0106723074136039 0.0214579494029866
